Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
2276694163594030870;EC 201;Lowe Reed,Allison S;33.15;43.35;15.67;5.15;2.68;89.25;79.91
15386383131130637112;EC 201;Puryear,Bobby L.;29.41;33.48;25.34;6.79;4.98;86.85;77.56
10464612407993110505;EC 201;Liu,Mingyan;48.65;40.54;6.76;2.70;1.35;92.73;83.24
13834280161456654148;EC 201;Li,Jueming;43.90;43.90;7.32;4.88;0.00;92.12;82.68
10747286314246844409;EC 201;Nowel,Andy;38.98;32.20;16.22;7.51;5.08;88.64;79.25
5357383348725155029;EC 201;Choe,Kyoungin;41.03;23.08;33.33;2.56;0.00;89.67;80.26
14019954525710507726;EC 201;Emblom-Hooe,Allyson Bronwyn;37.21;39.53;18.60;3.88;0.78;90.22;80.85
10864625893579446379;EC 201;Bainn,Sarah Ayensuah;34.88;32.56;30.23;2.33;0.00;89.35;80.00
15056582004737610257;EC 201;Sanat,Lyazzat;45.63;29.13;15.53;9.71;0.00;90.52;81.07
13825984337741994623;EC 201;Pan,Lei  ;39.47;42.11;18.42;0.00;0.00;91.50;82.11
13974599614914532641;EC 201;Zhang,Yifei  ;42.15;38.84;17.36;0.83;0.83;91.49;82.07
2458787436309435262;EC 201;Yan,Hongqiang  ;41.18;50.00;5.88;0.00;2.94;92.06;82.65
7537823774925540036;EC 201;Yao,Shiyue;39.51;40.74;18.52;0.00;1.23;91.12;81.73
9480110109439300933;EC 201;Paiement,Scott  ;64.04;24.72;10.11;0.00;1.12;94.70;85.06
12040228378014550226;EC 201;Harris,William  ;48.31;28.81;13.56;2.54;6.78;90.42;80.93
15876872875404228482;EC 201;Oshima,Michiya Heath;40.00;45.33;10.67;2.67;1.33;91.40;82.00
13400654453875038866;EC 201;Pi,Lulu;88.71;9.68;0.00;0.00;1.61;98.27;88.39
6824005074956679133;EC 201;Choi,Timothy;51.09;38.04;6.52;3.26;1.09;92.99;83.48
18124087157980086500;EC 201;Hu,Huiwen  ;42.86;32.38;16.19;3.81;4.76;89.90;80.48
7819630621691866085;EC 201;Westall,John  ;39.37;34.65;21.26;3.15;1.57;90.10;80.71
1136910306944657035;EC 201;Wang,Ting  ;62.61;29.57;6.09;0.87;0.87;94.84;85.22
12292704391544413845;EC 201;Wang,Caiqin  ;86.96;13.04;0.00;0.00;0.00;98.57;88.70
3397564237324023296;EC 201;Zhumadilov,Daniyar  ;63.56;25.42;10.17;0.85;0.00;94.81;85.17
10400274631390400168;EC 201;Zhang,Chi;57.01;38.32;4.67;0.00;0.00;94.80;85.23
4214323651616735266;EC 201;Craig,Lee A;40.68;35.40;15.54;5.56;2.82;89.96;80.56
4421019069949335908;EC 201;Wang,Ruixue  ;31.90;59.48;4.31;2.59;1.72;91.04;81.72
9803552967530682893;EC 201;Zeytoon-Nejad,Ali;50.30;32.54;12.43;2.96;1.78;92.17;82.66
7808168497114820428;EC 201;Dowd,Gregory  ;47.31;33.33;18.28;0.00;1.08;92.05;82.58
10593260955878703859;EC 201;Liang,Feifei  ;32.48;39.32;15.38;8.55;4.27;88.04;78.72
15313010942906469155;EC 201;Wu,Sui  ;50.00;35.00;12.50;0.00;2.50;92.50;83.00
15332461208538804376;EC 201;Parton,Lee Charles;35.90;38.46;17.95;2.56;5.13;89.10;79.74
9034953706778889015;EC 201;Nelson,Kelly Page;60.68;25.64;7.69;2.56;3.42;93.37;83.76
17504986294695110366;EC 201;Li,Huachen  ;46.15;40.00;9.23;3.08;1.54;92.08;82.62
37079029930723601;EC 201;Naumenko,Alexandra Vasilievna;48.81;44.05;7.14;0.00;0.00;93.65;84.17
10768241359264238696;EC 201;Connor,Lawson Quinn;44.74;36.84;18.42;0.00;0.00;92.08;82.63
14345143158891720146;EC 201;Pearce,Matthew David;77.50;20.00;0.00;0.00;2.50;96.78;87.00
14675091152631781068;EC 201;Kara,Omer  ;26.03;30.14;30.14;10.96;2.74;85.84;76.58
9841356790086714410;EC 201;Yang,Haoshi  ;34.55;40.91;17.27;6.36;0.91;89.53;80.18
10370173032393733367;EC 201;Walsh,Amanda Carol;36.36;29.09;18.18;14.55;1.82;87.73;78.36
2711961055023576601;EC 201;Khalaf,Christelle;23.53;47.06;11.76;0.00;17.65;85.12;75.88
8771058111696091900;EC 201;Callahan,Scott Evans;28.13;34.38;37.50;0.00;0.00;88.34;79.06
3651833728773833311;EC 201;Pritchett,Irina;44.44;33.33;16.67;5.56;0.00;91.11;81.67
16517000458046114538;EC 201;Riquelme Won,Juan Andres;40.00;40.00;8.57;0.00;11.43;89.11;79.71
12807571897837197431;EC 201;Yin,Yiyang;30.56;50.00;13.89;2.78;2.78;89.58;80.28
